Changed 1
759.003045 -618.922795 200.000000
733.003045 -629.922795 200.000000
707.003045 -640.922795 200.000000
681.003045 -651.922795 200.000000
655.003045 -662.922795 200.000000
629.003045 -673.922795 200.000000
603.003045 -684.922795 200.000000
577.003045 -695.922795 200.000000
551.003045 -706.922795 200.000000
525.003045 -717.922795 200.000000
499.003045 -728.922795 200.000000
473.003045 -739.922795 200.000000
447.003045 -750.922795 200.000000
421.003045 -761.922795 200.000000
395.003045 -772.922795 200.000000
369.003045 -783.922795 200.000000
343.003045 -794.922795 200.000000
317.003045 -805.922795 200.000000
291.003045 -816.922795 200.000000
265.003045 -827.922795 200.000000
239.003045 -838.922795 200.000000
213.003045 -849.922795 200.000000
187.003045 -860.922795 200.000000
161.003045 -871.922795 200.000000
135.003045 -882.922795 200.000000
109.003045 -893.922795 200.000000
83.003045 -904.922795 200.000000
57.003045 -915.922795 200.000000
31.003045 -926.922795 200.000000
5.003045 -937.922795 200.000000
-20.996955 -948.922795 200.000000
-46.996955 -959.922795 200.000000
-72.996955 -970.922795 200.000000
-98.996955 -981.922795 200.000000
-124.996955 -992.922795 200.000000
-150.996955 -1003.922795 200.000000
-176.996955 -1014.922795 200.000000
