Changed 1
0.000492 0.000505 10.256410
0.000485 0.000510 10.512821
0.000477 0.000515 10.769231
0.000469 0.000521 11.025641
0.000462 0.000526 11.282051
0.000454 0.000531 11.538462
0.000446 0.000536 11.794872
0.000438 0.000541 12.051282
0.000431 0.000546 12.307692
0.000423 0.000551 12.564103
0.000415 0.000556 12.820513
0.000408 0.000562 13.076923
0.000400 0.000567 13.333333
0.000392 0.000572 13.589744
0.000385 0.000577 13.846154
0.000377 0.000582 14.102564
0.000369 0.000587 14.358974
0.000362 0.000592 14.615385
0.000354 0.000597 14.871795
0.000346 0.000603 15.128205
0.000338 0.000608 15.384615
0.000331 0.000613 15.641026
0.000323 0.000618 15.897436
0.000315 0.000623 16.153846
0.000308 0.000628 16.410256
0.000300 0.000633 16.666667
0.000292 0.000638 16.923077
0.000285 0.000644 17.179487
0.000277 0.000649 17.435897
0.000269 0.000654 17.692308
0.000262 0.000659 17.948718
0.000254 0.000664 18.205128
0.000246 0.000669 18.461538
0.000238 0.000674 18.717949
0.000231 0.000679 18.974359
0.000223 0.000685 19.230769
0.000215 0.000690 19.487179
0.000208 0.000695 19.743590
0.000200 0.000700 20.000000
