Changed 1
0.000197 0.000690 19.615385
0.000195 0.000679 19.230769
0.000192 0.000669 18.846154
0.000190 0.000659 18.461538
0.000187 0.000649 18.076923
0.000185 0.000638 17.692308
0.000182 0.000628 17.307692
0.000179 0.000618 16.923077
0.000177 0.000608 16.538462
0.000174 0.000597 16.153846
0.000172 0.000587 15.769231
0.000169 0.000577 15.384615
0.000167 0.000567 15.000000
0.000164 0.000556 14.615385
0.000162 0.000546 14.230769
0.000159 0.000536 13.846154
0.000156 0.000526 13.461538
0.000154 0.000515 13.076923
0.000151 0.000505 12.692308
0.000149 0.000495 12.307692
0.000146 0.000485 11.923077
0.000144 0.000474 11.538462
0.000141 0.000464 11.153846
0.000138 0.000454 10.769231
0.000136 0.000444 10.384615
0.000133 0.000433 10.000000
0.000131 0.000423 9.615385
0.000128 0.000413 9.230769
0.000126 0.000403 8.846154
0.000123 0.000392 8.461538
0.000121 0.000382 8.076923
0.000118 0.000372 7.692308
0.000115 0.000362 7.307692
0.000113 0.000351 6.923077
0.000110 0.000341 6.538462
0.000108 0.000331 6.153846
0.000105 0.000321 5.769231
0.000103 0.000310 5.384615
0.000100 0.000300 5.000000
