Changed 1
51.282051 78.974359 29.871795
52.564103 77.948718 29.743590
53.846154 76.923077 29.615385
55.128205 75.897436 29.487179
56.410256 74.871795 29.358974
57.692308 73.846154 29.230769
58.974359 72.820513 29.102564
60.256410 71.794872 28.974359
61.538462 70.769231 28.846154
62.820513 69.743590 28.717949
64.102564 68.717949 28.589744
65.384615 67.692308 28.461538
66.666667 66.666667 28.333333
67.948718 65.641026 28.205128
69.230769 64.615385 28.076923
70.512821 63.589744 27.948718
71.794872 62.564103 27.820513
73.076923 61.538462 27.692308
74.358974 60.512821 27.564103
75.641026 59.487179 27.435897
76.923077 58.461538 27.307692
78.205128 57.435897 27.179487
79.487179 56.410256 27.051282
80.769231 55.384615 26.923077
82.051282 54.358974 26.794872
83.333333 53.333333 26.666667
84.615385 52.307692 26.538462
85.897436 51.282051 26.410256
87.179487 50.256410 26.282051
88.461538 49.230769 26.153846
89.743590 48.205128 26.025641
91.025641 47.179487 25.897436
92.307692 46.153846 25.769231
93.589744 45.128205 25.641026
94.871795 44.102564 25.512821
96.153846 43.076923 25.384615
97.435897 42.051282 25.256410
98.717949 41.025641 25.128205
100.000000 40.000000 25.000000
