
Changed 1
99.487179 40.000000 25.000000
98.974359 40.000000 25.000000
98.461538 39.102564 24.743590
97.948718 39.102564 24.743590
97.435897 39.102564 24.743590
96.923077 39.102564 24.743590
96.410256 39.102564 24.743590
95.897436 39.102564 24.743590
95.384615 38.205128 24.487179
94.871795 37.307692 24.230769
94.358974 36.410256 23.974359
93.846154 35.512821 23.717949
93.333333 34.615385 23.461538
92.820513 33.717949 23.205128
92.307692 32.820513 22.948718
91.794872 31.923077 22.692308
91.282051 31.025641 22.435897
90.769231 30.128205 22.179487
90.256410 29.230769 21.923077
89.743590 28.333333 21.666667
89.230769 27.435897 21.410256
88.717949 26.538462 21.153846
88.205128 25.641026 20.897436
87.692308 24.743590 20.641026
87.179487 23.846154 20.384615
86.666667 22.948718 20.128205
86.153846 22.051282 19.871795
85.641026 21.153846 19.615385
85.128205 20.256410 19.358974
84.615385 19.358974 19.102564
84.615385 18.461538 18.846154
84.102564 17.564103 18.589744
83.589744 16.666667 18.333333
83.076923 15.769231 18.076923
82.564103 14.871795 17.820513
82.051282 13.974359 17.564103
81.538462 13.076923 17.307692
81.538462 12.179487 17.051282
81.538462 11.282051 16.794872
81.538462 10.384615 16.538462
81.538462 9.487179 16.282051
81.538462 8.589744 16.025641
81.538462 7.692308 15.769231
81.025641 6.794872 15.512821
80.512821 5.897436 15.256410
80.000000 5.000000 15.000000
hi
